"unit","sex","nace_r1","worktime","geo","time","values"
"THS","T","K","FT","BG","2008Q3",NA
"THS","T","K","NRP","BG","2008Q3",NA
"THS","T","K","PT","BG","2008Q3",NA
"THS","T","K","TOTAL","BG","2008Q3",NA
"THS","T","L","FT","BG","2008Q3",NA
"THS","T","L","NRP","BG","2008Q3",NA
"THS","T","L","PT","BG","2008Q3",NA
"THS","T","L","TOTAL","BG","2008Q3",NA
"THS","T","M","FT","BG","2008Q3",NA
"THS","T","M","NRP","BG","2008Q3",NA
"THS","T","M","PT","BG","2008Q3",NA
"THS","T","M","TOTAL","BG","2008Q3",NA
"THS","T","M-Q","FT","BG","2008Q3",NA
"THS","T","M-Q","NRP","BG","2008Q3",NA
"THS","T","M-Q","PT","BG","2008Q3",NA
"THS","T","M-Q","TOTAL","BG","2008Q3",NA
"THS","T","N","FT","BG","2008Q3",NA
"THS","T","N","NRP","BG","2008Q3",NA
"THS","T","N","PT","BG","2008Q3",NA
"THS","T","N","TOTAL","BG","2008Q3",NA
"THS","T","NRP","FT","BG","2008Q3",3335.9
"THS","T","NRP","NRP","BG","2008Q3",NA
"THS","T","NRP","PT","BG","2008Q3",81.4
"THS","T","NRP","TOTAL","BG","2008Q3",3417.3
"THS","T","O","FT","BG","2008Q3",NA
"THS","T","O","NRP","BG","2008Q3",NA
"THS","T","O","PT","BG","2008Q3",NA
"THS","T","O","TOTAL","BG","2008Q3",NA
"THS","T","P","FT","BG","2008Q3",NA
"THS","T","P","NRP","BG","2008Q3",NA
"THS","T","P","PT","BG","2008Q3",NA
"THS","T","P","TOTAL","BG","2008Q3",NA
"THS","T","Q","FT","BG","2008Q3",NA
"THS","T","Q","NRP","BG","2008Q3",NA
"THS","T","Q","PT","BG","2008Q3",NA
"THS","T","Q","TOTAL","BG","2008Q3",NA
"THS","T","TOTAL","FT","BG","2008Q3",3335.9
"THS","T","TOTAL","NRP","BG","2008Q3",NA
"THS","T","TOTAL","PT","BG","2008Q3",81.4
"THS","T","TOTAL","TOTAL","BG","2008Q3",3417.3
"THS","F","A","FT","BG","2008Q2",NA
"THS","F","A","NRP","BG","2008Q2",NA
"THS","F","A","PT","BG","2008Q2",NA
"THS","F","A","TOTAL","BG","2008Q2",NA
"THS","F","A_B","FT","BG","2008Q2",NA
"THS","F","A_B","NRP","BG","2008Q2",NA
"THS","F","A_B","PT","BG","2008Q2",NA
"THS","F","A_B","TOTAL","BG","2008Q2",NA
"THS","F","B","FT","BG","2008Q2",NA
"THS","F","B","NRP","BG","2008Q2",NA
"THS","F","B","PT","BG","2008Q2",NA
"THS","F","B","TOTAL","BG","2008Q2",NA
"THS","F","C","FT","BG","2008Q2",NA
"THS","F","C","NRP","BG","2008Q2",NA
"THS","F","C","PT","BG","2008Q2",NA
"THS","F","C","TOTAL","BG","2008Q2",NA
"THS","F","C-F","FT","BG","2008Q2",NA
"THS","F","C-F","NRP","BG","2008Q2",NA
"THS","F","C-F","PT","BG","2008Q2",NA
"THS","F","C-F","TOTAL","BG","2008Q2",NA
"THS","F","C-K","FT","BG","2008Q2",NA
"THS","F","C-K","NRP","BG","2008Q2",NA
"THS","F","C-K","PT","BG","2008Q2",NA
"THS","F","C-K","TOTAL","BG","2008Q2",NA
"THS","F","D","FT","BG","2008Q2",NA
"THS","F","D","NRP","BG","2008Q2",NA
"THS","F","D","PT","BG","2008Q2",NA
"THS","F","D","TOTAL","BG","2008Q2",NA
"THS","F","E","FT","BG","2008Q2",NA
"THS","F","E","NRP","BG","2008Q2",NA
"THS","F","E","PT","BG","2008Q2",NA
"THS","F","E","TOTAL","BG","2008Q2",NA
"THS","F","F","FT","BG","2008Q2",NA
"THS","F","F","NRP","BG","2008Q2",NA
"THS","F","F","PT","BG","2008Q2",NA
"THS","F","F","TOTAL","BG","2008Q2",NA
"THS","F","G","FT","BG","2008Q2",NA
"THS","F","G","NRP","BG","2008Q2",NA
"THS","F","G","PT","BG","2008Q2",NA
"THS","F","G","TOTAL","BG","2008Q2",NA
"THS","F","G-K","FT","BG","2008Q2",NA
"THS","F","G-K","NRP","BG","2008Q2",NA
"THS","F","G-K","PT","BG","2008Q2",NA
"THS","F","G-K","TOTAL","BG","2008Q2",NA
"THS","F","G-Q","FT","BG","2008Q2",NA
"THS","F","G-Q","NRP","BG","2008Q2",NA
"THS","F","G-Q","PT","BG","2008Q2",NA
"THS","F","G-Q","TOTAL","BG","2008Q2",NA
"THS","F","H","FT","BG","2008Q2",NA
"THS","F","H","NRP","BG","2008Q2",NA
"THS","F","H","PT","BG","2008Q2",NA
"THS","F","H","TOTAL","BG","2008Q2",NA
"THS","F","I","FT","BG","2008Q2",NA
"THS","F","I","NRP","BG","2008Q2",NA
"THS","F","I","PT","BG","2008Q2",NA
"THS","F","I","TOTAL","BG","2008Q2",NA
"THS","F","J","FT","BG","2008Q2",NA
"THS","F","J","NRP","BG","2008Q2",NA
"THS","F","J","PT","BG","2008Q2",NA
"THS","F","J","TOTAL","BG","2008Q2",NA
"THS","F","K","FT","BG","2008Q2",NA
"THS","F","K","NRP","BG","2008Q2",NA
"THS","F","K","PT","BG","2008Q2",NA
"THS","F","K","TOTAL","BG","2008Q2",NA
"THS","F","L","FT","BG","2008Q2",NA
"THS","F","L","NRP","BG","2008Q2",NA
"THS","F","L","PT","BG","2008Q2",NA
"THS","F","L","TOTAL","BG","2008Q2",NA
"THS","F","M","FT","BG","2008Q2",NA
"THS","F","M","NRP","BG","2008Q2",NA
"THS","F","M","PT","BG","2008Q2",NA
"THS","F","M","TOTAL","BG","2008Q2",NA
"THS","F","M-Q","FT","BG","2008Q2",NA
"THS","F","M-Q","NRP","BG","2008Q2",NA
"THS","F","M-Q","PT","BG","2008Q2",NA
"THS","F","M-Q","TOTAL","BG","2008Q2",NA
"THS","F","N","FT","BG","2008Q2",NA
"THS","F","N","NRP","BG","2008Q2",NA
"THS","F","N","PT","BG","2008Q2",NA
"THS","F","N","TOTAL","BG","2008Q2",NA
"THS","F","NRP","FT","BG","2008Q2",1531.5
"THS","F","NRP","NRP","BG","2008Q2",NA
"THS","F","NRP","PT","BG","2008Q2",46.2
"THS","F","NRP","TOTAL","BG","2008Q2",1577.7
"THS","F","O","FT","BG","2008Q2",NA
"THS","F","O","NRP","BG","2008Q2",NA
"THS","F","O","PT","BG","2008Q2",NA
"THS","F","O","TOTAL","BG","2008Q2",NA
"THS","F","P","FT","BG","2008Q2",NA
"THS","F","P","NRP","BG","2008Q2",NA
"THS","F","P","PT","BG","2008Q2",NA
"THS","F","P","TOTAL","BG","2008Q2",NA
"THS","F","Q","FT","BG","2008Q2",NA
"THS","F","Q","NRP","BG","2008Q2",NA
"THS","F","Q","PT","BG","2008Q2",NA
"THS","F","Q","TOTAL","BG","2008Q2",NA
"THS","F","TOTAL","FT","BG","2008Q2",1531.5
"THS","F","TOTAL","NRP","BG","2008Q2",NA
"THS","F","TOTAL","PT","BG","2008Q2",46.2
"THS","F","TOTAL","TOTAL","BG","2008Q2",1577.7
"THS","M","A","FT","BG","2008Q2",NA
"THS","M","A","NRP","BG","2008Q2",NA
"THS","M","A","PT","BG","2008Q2",NA
"THS","M","A","TOTAL","BG","2008Q2",NA
"THS","M","A_B","FT","BG","2008Q2",NA
"THS","M","A_B","NRP","BG","2008Q2",NA
"THS","M","A_B","PT","BG","2008Q2",NA
"THS","M","A_B","TOTAL","BG","2008Q2",NA
"THS","M","B","FT","BG","2008Q2",NA
"THS","M","B","NRP","BG","2008Q2",NA
"THS","M","B","PT","BG","2008Q2",NA
"THS","M","B","TOTAL","BG","2008Q2",NA
"THS","M","C","FT","BG","2008Q2",NA
"THS","M","C","NRP","BG","2008Q2",NA
"THS","M","C","PT","BG","2008Q2",NA
"THS","M","C","TOTAL","BG","2008Q2",NA
"THS","M","C-F","FT","BG","2008Q2",NA
"THS","M","C-F","NRP","BG","2008Q2",NA
"THS","M","C-F","PT","BG","2008Q2",NA
"THS","M","C-F","TOTAL","BG","2008Q2",NA
"THS","M","C-K","FT","BG","2008Q2",NA
"THS","M","C-K","NRP","BG","2008Q2",NA
"THS","M","C-K","PT","BG","2008Q2",NA
"THS","M","C-K","TOTAL","BG","2008Q2",NA
"THS","M","D","FT","BG","2008Q2",NA
"THS","M","D","NRP","BG","2008Q2",NA
"THS","M","D","PT","BG","2008Q2",NA
"THS","M","D","TOTAL","BG","2008Q2",NA
"THS","M","E","FT","BG","2008Q2",NA
"THS","M","E","NRP","BG","2008Q2",NA
"THS","M","E","PT","BG","2008Q2",NA
"THS","M","E","TOTAL","BG","2008Q2",NA
"THS","M","F","FT","BG","2008Q2",NA
"THS","M","F","NRP","BG","2008Q2",NA
"THS","M","F","PT","BG","2008Q2",NA
"THS","M","F","TOTAL","BG","2008Q2",NA
"THS","M","G","FT","BG","2008Q2",NA
"THS","M","G","NRP","BG","2008Q2",NA
"THS","M","G","PT","BG","2008Q2",NA
"THS","M","G","TOTAL","BG","2008Q2",NA
"THS","M","G-K","FT","BG","2008Q2",NA
"THS","M","G-K","NRP","BG","2008Q2",NA
"THS","M","G-K","PT","BG","2008Q2",NA
"THS","M","G-K","TOTAL","BG","2008Q2",NA
"THS","M","G-Q","FT","BG","2008Q2",NA
"THS","M","G-Q","NRP","BG","2008Q2",NA
"THS","M","G-Q","PT","BG","2008Q2",NA
"THS","M","G-Q","TOTAL","BG","2008Q2",NA
"THS","M","H","FT","BG","2008Q2",NA
"THS","M","H","NRP","BG","2008Q2",NA
"THS","M","H","PT","BG","2008Q2",NA
"THS","M","H","TOTAL","BG","2008Q2",NA
"THS","M","I","FT","BG","2008Q2",NA
"THS","M","I","NRP","BG","2008Q2",NA
"THS","M","I","PT","BG","2008Q2",NA
"THS","M","I","TOTAL","BG","2008Q2",NA
"THS","M","J","FT","BG","2008Q2",NA
"THS","M","J","NRP","BG","2008Q2",NA
"THS","M","J","PT","BG","2008Q2",NA
"THS","M","J","TOTAL","BG","2008Q2",NA
"THS","M","K","FT","BG","2008Q2",NA
"THS","M","K","NRP","BG","2008Q2",NA
"THS","M","K","PT","BG","2008Q2",NA
"THS","M","K","TOTAL","BG","2008Q2",NA
"THS","M","L","FT","BG","2008Q2",NA
"THS","M","L","NRP","BG","2008Q2",NA
"THS","M","L","PT","BG","2008Q2",NA
"THS","M","L","TOTAL","BG","2008Q2",NA
"THS","M","M","FT","BG","2008Q2",NA
"THS","M","M","NRP","BG","2008Q2",NA
"THS","M","M","PT","BG","2008Q2",NA
"THS","M","M","TOTAL","BG","2008Q2",NA
"THS","M","M-Q","FT","BG","2008Q2",NA
"THS","M","M-Q","NRP","BG","2008Q2",NA
"THS","M","M-Q","PT","BG","2008Q2",NA
"THS","M","M-Q","TOTAL","BG","2008Q2",NA
"THS","M","N","FT","BG","2008Q2",NA
"THS","M","N","NRP","BG","2008Q2",NA
"THS","M","N","PT","BG","2008Q2",NA
"THS","M","N","TOTAL","BG","2008Q2",NA
"THS","M","NRP","FT","BG","2008Q2",1759.7
"THS","M","NRP","NRP","BG","2008Q2",NA
"THS","M","NRP","PT","BG","2008Q2",34.7
"THS","M","NRP","TOTAL","BG","2008Q2",1794.4
"THS","M","O","FT","BG","2008Q2",NA
"THS","M","O","NRP","BG","2008Q2",NA
"THS","M","O","PT","BG","2008Q2",NA
"THS","M","O","TOTAL","BG","2008Q2",NA
"THS","M","P","FT","BG","2008Q2",NA
"THS","M","P","NRP","BG","2008Q2",NA
"THS","M","P","PT","BG","2008Q2",NA
"THS","M","P","TOTAL","BG","2008Q2",NA
"THS","M","Q","FT","BG","2008Q2",NA
"THS","M","Q","NRP","BG","2008Q2",NA
"THS","M","Q","TOTAL","BG","2008Q2",NA
"THS","M","TOTAL","FT","BG","2008Q2",1759.7
"THS","M","TOTAL","NRP","BG","2008Q2",NA
"THS","M","TOTAL","PT","BG","2008Q2",34.7
"THS","M","TOTAL","TOTAL","BG","2008Q2",1794.4
"THS","T","A","FT","BG","2008Q2",NA
"THS","T","A","NRP","BG","2008Q2",NA
"THS","T","A","PT","BG","2008Q2",NA
"THS","T","A","TOTAL","BG","2008Q2",NA
"THS","T","A_B","FT","BG","2008Q2",NA
"THS","T","A_B","NRP","BG","2008Q2",NA
"THS","T","A_B","PT","BG","2008Q2",NA
"THS","T","A_B","TOTAL","BG","2008Q2",NA
"THS","T","B","FT","BG","2008Q2",NA
"THS","T","B","NRP","BG","2008Q2",NA
"THS","T","B","PT","BG","2008Q2",NA
"THS","T","B","TOTAL","BG","2008Q2",NA
"THS","T","C","FT","BG","2008Q2",NA
"THS","T","C","NRP","BG","2008Q2",NA
"THS","T","C","PT","BG","2008Q2",NA
"THS","T","C","TOTAL","BG","2008Q2",NA
"THS","T","C-F","FT","BG","2008Q2",NA
"THS","T","C-F","NRP","BG","2008Q2",NA
"THS","T","C-F","PT","BG","2008Q2",NA
"THS","T","C-F","TOTAL","BG","2008Q2",NA
"THS","T","C-K","FT","BG","2008Q2",NA
"THS","T","C-K","NRP","BG","2008Q2",NA
"THS","T","C-K","PT","BG","2008Q2",NA
"THS","T","C-K","TOTAL","BG","2008Q2",NA
"THS","T","D","FT","BG","2008Q2",NA
"THS","T","D","NRP","BG","2008Q2",NA
"THS","T","D","PT","BG","2008Q2",NA
"THS","T","D","TOTAL","BG","2008Q2",NA
"THS","T","E","FT","BG","2008Q2",NA
"THS","T","E","NRP","BG","2008Q2",NA
"THS","T","E","PT","BG","2008Q2",NA
"THS","T","E","TOTAL","BG","2008Q2",NA
"THS","T","F","FT","BG","2008Q2",NA
"THS","T","F","NRP","BG","2008Q2",NA
"THS","T","F","PT","BG","2008Q2",NA
"THS","T","F","TOTAL","BG","2008Q2",NA
"THS","T","G","FT","BG","2008Q2",NA
"THS","T","G","NRP","BG","2008Q2",NA
"THS","T","G","PT","BG","2008Q2",NA
"THS","T","G","TOTAL","BG","2008Q2",NA
"THS","T","G-K","FT","BG","2008Q2",NA
"THS","T","G-K","NRP","BG","2008Q2",NA
"THS","T","G-K","PT","BG","2008Q2",NA
"THS","T","G-K","TOTAL","BG","2008Q2",NA
"THS","T","G-Q","FT","BG","2008Q2",NA
"THS","T","G-Q","NRP","BG","2008Q2",NA
"THS","T","G-Q","PT","BG","2008Q2",NA
"THS","T","G-Q","TOTAL","BG","2008Q2",NA
"THS","T","H","FT","BG","2008Q2",NA
"THS","T","H","NRP","BG","2008Q2",NA
"THS","T","H","PT","BG","2008Q2",NA
"THS","T","H","TOTAL","BG","2008Q2",NA
"THS","T","I","FT","BG","2008Q2",NA
"THS","T","I","NRP","BG","2008Q2",NA
"THS","T","I","PT","BG","2008Q2",NA
"THS","T","I","TOTAL","BG","2008Q2",NA
"THS","T","J","FT","BG","2008Q2",NA
"THS","T","J","NRP","BG","2008Q2",NA
"THS","T","J","PT","BG","2008Q2",NA
"THS","T","J","TOTAL","BG","2008Q2",NA
"THS","T","K","FT","BG","2008Q2",NA
"THS","T","K","NRP","BG","2008Q2",NA
"THS","T","K","PT","BG","2008Q2",NA
"THS","T","K","TOTAL","BG","2008Q2",NA
"THS","T","L","FT","BG","2008Q2",NA
"THS","T","L","NRP","BG","2008Q2",NA
"THS","T","L","PT","BG","2008Q2",NA
"THS","T","L","TOTAL","BG","2008Q2",NA
"THS","T","M","FT","BG","2008Q2",NA
"THS","T","M","NRP","BG","2008Q2",NA
"THS","T","M","PT","BG","2008Q2",NA
"THS","T","M","TOTAL","BG","2008Q2",NA
"THS","T","M-Q","FT","BG","2008Q2",NA
"THS","T","M-Q","NRP","BG","2008Q2",NA
"THS","T","M-Q","PT","BG","2008Q2",NA
"THS","T","M-Q","TOTAL","BG","2008Q2",NA
"THS","T","N","FT","BG","2008Q2",NA
"THS","T","N","NRP","BG","2008Q2",NA
"THS","T","N","PT","BG","2008Q2",NA
"THS","T","N","TOTAL","BG","2008Q2",NA
"THS","T","NRP","FT","BG","2008Q2",3291.2
"THS","T","NRP","NRP","BG","2008Q2",NA
"THS","T","NRP","PT","BG","2008Q2",80.9
"THS","T","NRP","TOTAL","BG","2008Q2",3372.1
"THS","T","O","FT","BG","2008Q2",NA
"THS","T","O","NRP","BG","2008Q2",NA
"THS","T","O","PT","BG","2008Q2",NA
"THS","T","O","TOTAL","BG","2008Q2",NA
"THS","T","P","FT","BG","2008Q2",NA
"THS","T","P","NRP","BG","2008Q2",NA
"THS","T","P","PT","BG","2008Q2",NA
"THS","T","P","TOTAL","BG","2008Q2",NA
"THS","T","Q","FT","BG","2008Q2",NA
"THS","T","Q","NRP","BG","2008Q2",NA
"THS","T","Q","PT","BG","2008Q2",NA
"THS","T","Q","TOTAL","BG","2008Q2",NA
"THS","T","TOTAL","FT","BG","2008Q2",3291.2
"THS","T","TOTAL","NRP","BG","2008Q2",NA
"THS","T","TOTAL","PT","BG","2008Q2",80.9
"THS","T","TOTAL","TOTAL","BG","2008Q2",3372.1
"THS","F","A","FT","BG","2008Q1",NA
"THS","F","A","NRP","BG","2008Q1",NA
"THS","F","A","PT","BG","2008Q1",NA
"THS","F","A","TOTAL","BG","2008Q1",NA
"THS","F","A_B","FT","BG","2008Q1",NA
"THS","F","A_B","NRP","BG","2008Q1",NA
"THS","F","A_B","PT","BG","2008Q1",NA
"THS","F","A_B","TOTAL","BG","2008Q1",NA
"THS","F","B","FT","BG","2008Q1",NA
"THS","F","B","NRP","BG","2008Q1",NA
"THS","F","B","PT","BG","2008Q1",NA
"THS","F","B","TOTAL","BG","2008Q1",NA
"THS","F","C","FT","BG","2008Q1",NA
"THS","F","C","NRP","BG","2008Q1",NA
"THS","F","C","PT","BG","2008Q1",NA
"THS","F","C","TOTAL","BG","2008Q1",NA
"THS","F","C-F","FT","BG","2008Q1",NA
"THS","F","C-F","NRP","BG","2008Q1",NA
"THS","F","C-F","PT","BG","2008Q1",NA
"THS","F","C-F","TOTAL","BG","2008Q1",NA
"THS","F","C-K","FT","BG","2008Q1",NA
"THS","F","C-K","NRP","BG","2008Q1",NA
"THS","F","C-K","PT","BG","2008Q1",NA
"THS","F","C-K","TOTAL","BG","2008Q1",NA
"THS","F","D","FT","BG","2008Q1",NA
"THS","F","D","NRP","BG","2008Q1",NA
"THS","F","D","PT","BG","2008Q1",NA
"THS","F","D","TOTAL","BG","2008Q1",NA
"THS","F","E","FT","BG","2008Q1",NA
"THS","F","E","NRP","BG","2008Q1",NA
"THS","F","E","PT","BG","2008Q1",NA
"THS","F","E","TOTAL","BG","2008Q1",NA
"THS","F","F","FT","BG","2008Q1",NA
"THS","F","F","NRP","BG","2008Q1",NA
"THS","F","F","PT","BG","2008Q1",NA
"THS","F","F","TOTAL","BG","2008Q1",NA
"THS","F","G","FT","BG","2008Q1",NA
"THS","F","G","NRP","BG","2008Q1",NA
"THS","F","G","PT","BG","2008Q1",NA
"THS","F","G","TOTAL","BG","2008Q1",NA
"THS","F","G-K","FT","BG","2008Q1",NA
"THS","F","G-K","NRP","BG","2008Q1",NA
"THS","F","G-K","PT","BG","2008Q1",NA
"THS","F","G-K","TOTAL","BG","2008Q1",NA
"THS","F","G-Q","FT","BG","2008Q1",NA
"THS","F","G-Q","NRP","BG","2008Q1",NA
"THS","F","G-Q","PT","BG","2008Q1",NA
"THS","F","G-Q","TOTAL","BG","2008Q1",NA
"THS","F","H","FT","BG","2008Q1",NA
"THS","F","H","NRP","BG","2008Q1",NA
"THS","F","H","PT","BG","2008Q1",NA
"THS","F","H","TOTAL","BG","2008Q1",NA
"THS","F","I","FT","BG","2008Q1",NA
"THS","F","I","NRP","BG","2008Q1",NA
"THS","F","I","PT","BG","2008Q1",NA
"THS","F","I","TOTAL","BG","2008Q1",NA
"THS","F","J","FT","BG","2008Q1",NA
"THS","F","J","NRP","BG","2008Q1",NA
"THS","F","J","PT","BG","2008Q1",NA
"THS","F","J","TOTAL","BG","2008Q1",NA
"THS","F","K","FT","BG","2008Q1",NA
"THS","F","K","NRP","BG","2008Q1",NA
"THS","F","K","PT","BG","2008Q1",NA
"THS","F","K","TOTAL","BG","2008Q1",NA
"THS","F","L","FT","BG","2008Q1",NA
"THS","F","L","NRP","BG","2008Q1",NA
"THS","F","L","PT","BG","2008Q1",NA
"THS","F","L","TOTAL","BG","2008Q1",NA
"THS","F","M","FT","BG","2008Q1",NA
"THS","F","M","NRP","BG","2008Q1",NA
"THS","F","M","PT","BG","2008Q1",NA
"THS","F","M","TOTAL","BG","2008Q1",NA
"THS","F","M-Q","FT","BG","2008Q1",NA
"THS","F","M-Q","NRP","BG","2008Q1",NA
"THS","F","M-Q","PT","BG","2008Q1",NA
"THS","F","M-Q","TOTAL","BG","2008Q1",NA
"THS","F","N","FT","BG","2008Q1",NA
"THS","F","N","NRP","BG","2008Q1",NA
"THS","F","N","PT","BG","2008Q1",NA
"THS","F","N","TOTAL","BG","2008Q1",NA
"THS","F","NRP","FT","BG","2008Q1",1495.6
"THS","F","NRP","NRP","BG","2008Q1",NA
"THS","F","NRP","PT","BG","2008Q1",45.1
"THS","F","NRP","TOTAL","BG","2008Q1",1540.7
"THS","F","O","FT","BG","2008Q1",NA
"THS","F","O","NRP","BG","2008Q1",NA
"THS","F","O","PT","BG","2008Q1",NA
"THS","F","O","TOTAL","BG","2008Q1",NA
"THS","F","P","FT","BG","2008Q1",NA
"THS","F","P","NRP","BG","2008Q1",NA
"THS","F","P","PT","BG","2008Q1",NA
"THS","F","P","TOTAL","BG","2008Q1",NA
"THS","F","Q","FT","BG","2008Q1",NA
"THS","F","Q","NRP","BG","2008Q1",NA
"THS","F","Q","PT","BG","2008Q1",NA
"THS","F","Q","TOTAL","BG","2008Q1",NA
"THS","F","TOTAL","FT","BG","2008Q1",1495.6
"THS","F","TOTAL","NRP","BG","2008Q1",NA
"THS","F","TOTAL","PT","BG","2008Q1",45.1
"THS","F","TOTAL","TOTAL","BG","2008Q1",1540.7
"THS","M","A","FT","BG","2008Q1",NA
"THS","M","A","NRP","BG","2008Q1",NA
"THS","M","A","PT","BG","2008Q1",NA
"THS","M","A","TOTAL","BG","2008Q1",NA
"THS","M","A_B","FT","BG","2008Q1",NA
"THS","M","A_B","NRP","BG","2008Q1",NA
"THS","M","A_B","PT","BG","2008Q1",NA
"THS","M","A_B","TOTAL","BG","2008Q1",NA
"THS","M","B","FT","BG","2008Q1",NA
"THS","M","B","NRP","BG","2008Q1",NA
"THS","M","B","PT","BG","2008Q1",NA
"THS","M","B","TOTAL","BG","2008Q1",NA
"THS","M","C","FT","BG","2008Q1",NA
"THS","M","C","NRP","BG","2008Q1",NA
"THS","M","C","PT","BG","2008Q1",NA
"THS","M","C","TOTAL","BG","2008Q1",NA
"THS","M","C-F","FT","BG","2008Q1",NA
"THS","M","C-F","NRP","BG","2008Q1",NA
"THS","M","C-F","PT","BG","2008Q1",NA
"THS","M","C-F","TOTAL","BG","2008Q1",NA
"THS","M","C-K","FT","BG","2008Q1",NA
"THS","M","C-K","NRP","BG","2008Q1",NA
"THS","M","C-K","PT","BG","2008Q1",NA
"THS","M","C-K","TOTAL","BG","2008Q1",NA
"THS","M","D","FT","BG","2008Q1",NA
"THS","M","D","NRP","BG","2008Q1",NA
"THS","M","D","PT","BG","2008Q1",NA
"THS","M","D","TOTAL","BG","2008Q1",NA
"THS","M","E","FT","BG","2008Q1",NA
"THS","M","E","NRP","BG","2008Q1",NA
"THS","M","E","PT","BG","2008Q1",NA
"THS","M","E","TOTAL","BG","2008Q1",NA
"THS","M","F","FT","BG","2008Q1",NA
"THS","M","F","NRP","BG","2008Q1",NA
"THS","M","F","PT","BG","2008Q1",NA
"THS","M","F","TOTAL","BG","2008Q1",NA
"THS","M","G","FT","BG","2008Q1",NA
"THS","M","G","NRP","BG","2008Q1",NA
"THS","M","G","PT","BG","2008Q1",NA
"THS","M","G","TOTAL","BG","2008Q1",NA
"THS","M","G-K","FT","BG","2008Q1",NA
"THS","M","G-K","NRP","BG","2008Q1",NA
"THS","M","G-K","PT","BG","2008Q1",NA
"THS","M","G-K","TOTAL","BG","2008Q1",NA
"THS","M","G-Q","FT","BG","2008Q1",NA
"THS","M","G-Q","NRP","BG","2008Q1",NA
"THS","M","G-Q","PT","BG","2008Q1",NA
"THS","M","G-Q","TOTAL","BG","2008Q1",NA
"THS","M","H","FT","BG","2008Q1",NA
"THS","M","H","NRP","BG","2008Q1",NA
"THS","M","H","PT","BG","2008Q1",NA
"THS","M","H","TOTAL","BG","2008Q1",NA
"THS","M","I","FT","BG","2008Q1",NA
"THS","M","I","NRP","BG","2008Q1",NA
"THS","M","I","PT","BG","2008Q1",NA
"THS","M","I","TOTAL","BG","2008Q1",NA
"THS","M","J","FT","BG","2008Q1",NA
"THS","M","J","NRP","BG","2008Q1",NA
"THS","M","J","PT","BG","2008Q1",NA
"THS","M","J","TOTAL","BG","2008Q1",NA
"THS","M","K","FT","BG","2008Q1",NA
"THS","M","K","NRP","BG","2008Q1",NA
"THS","M","K","PT","BG","2008Q1",NA
"THS","M","K","TOTAL","BG","2008Q1",NA
"THS","M","L","FT","BG","2008Q1",NA
"THS","M","L","NRP","BG","2008Q1",NA
"THS","M","L","PT","BG","2008Q1",NA
"THS","M","L","TOTAL","BG","2008Q1",NA
"THS","M","M","FT","BG","2008Q1",NA
"THS","M","M","NRP","BG","2008Q1",NA
"THS","M","M","PT","BG","2008Q1",NA
"THS","M","M","TOTAL","BG","2008Q1",NA
"THS","M","M-Q","FT","BG","2008Q1",NA
"THS","M","M-Q","NRP","BG","2008Q1",NA
"THS","M","M-Q","PT","BG","2008Q1",NA
"THS","M","M-Q","TOTAL","BG","2008Q1",NA
"THS","M","N","FT","BG","2008Q1",NA
"THS","M","N","NRP","BG","2008Q1",NA
"THS","M","N","PT","BG","2008Q1",NA
"THS","M","N","TOTAL","BG","2008Q1",NA
"THS","M","NRP","FT","BG","2008Q1",1708.7
"THS","M","NRP","NRP","BG","2008Q1",NA
"THS","M","NRP","PT","BG","2008Q1",40.4
"THS","M","NRP","TOTAL","BG","2008Q1",1749.1
"THS","M","O","FT","BG","2008Q1",NA
"THS","M","O","NRP","BG","2008Q1",NA
"THS","M","O","PT","BG","2008Q1",NA
"THS","M","O","TOTAL","BG","2008Q1",NA
"THS","M","P","FT","BG","2008Q1",NA
"THS","M","P","NRP","BG","2008Q1",NA
"THS","M","P","PT","BG","2008Q1",NA
"THS","M","P","TOTAL","BG","2008Q1",NA
"THS","M","Q","FT","BG","2008Q1",NA
"THS","M","Q","NRP","BG","2008Q1",NA
"THS","M","Q","TOTAL","BG","2008Q1",NA
"THS","M","TOTAL","FT","BG","2008Q1",1708.7
"THS","M","TOTAL","NRP","BG","2008Q1",NA
"THS","M","TOTAL","PT","BG","2008Q1",40.4
"THS","M","TOTAL","TOTAL","BG","2008Q1",1749.1
"THS","T","A","FT","BG","2008Q1",NA
"THS","T","A","NRP","BG","2008Q1",NA
"THS","T","A","PT","BG","2008Q1",NA
"THS","T","A","TOTAL","BG","2008Q1",NA
"THS","T","A_B","FT","BG","2008Q1",NA
"THS","T","A_B","NRP","BG","2008Q1",NA
"THS","T","A_B","PT","BG","2008Q1",NA
"THS","T","A_B","TOTAL","BG","2008Q1",NA
"THS","T","B","FT","BG","2008Q1",NA
"THS","T","B","NRP","BG","2008Q1",NA
"THS","T","B","PT","BG","2008Q1",NA
"THS","T","B","TOTAL","BG","2008Q1",NA
"THS","T","C","FT","BG","2008Q1",NA
"THS","T","C","NRP","BG","2008Q1",NA
"THS","T","C","PT","BG","2008Q1",NA
"THS","T","C","TOTAL","BG","2008Q1",NA
"THS","T","C-F","FT","BG","2008Q1",NA
"THS","T","C-F","NRP","BG","2008Q1",NA
"THS","T","C-F","PT","BG","2008Q1",NA
"THS","T","C-F","TOTAL","BG","2008Q1",NA
"THS","T","C-K","FT","BG","2008Q1",NA
